origin,destination,Year,Month,Day,monthlyTransferMWh
BPAT,GCPD,2018,9,7204,51593
BPAT,GCPD,2018,10,4805,48837
BPAT,GCPD,2018,11,1048,7289
BPAT,GCPD,2018,12,1380,4180
BPAT,GRID,2018,1,5690,3421
BPAT,GRID,2018,2,6612,3380
BPAT,GRID,2018,3,6840,3468
BPAT,GRID,2018,4,11494,4220
BPAT,GRID,2018,5,12733,3791
BPAT,GRID,2018,6,11925,3774
BPAT,GRID,2018,7,5902,3297
BPAT,GRID,2018,8,5322,3164
BPAT,GRID,2018,9,5762,4952
BPAT,GRID,2018,10,4824,1983
BPAT,GRID,2018,11,596,2382
BPAT,GRID,2018,12,351,245
BPAT,IPCO,2018,1,5150,7565
BPAT,IPCO,2018,2,7096,20852
BPAT,IPCO,2018,3,4937,8950
BPAT,IPCO,2018,4,3612,5523
BPAT,IPCO,2018,5,10292,32496
BPAT,IPCO,2018,6,10732,42365
BPAT,IPCO,2018,7,11407,49943
BPAT,IPCO,2018,8,6777,20206
BPAT,IPCO,2018,9,3609,6024
BPAT,IPCO,2018,10,2499,3961
BPAT,IPCO,2018,11,1156,6387
BPAT,IPCO,2018,12,989,1011
BPAT,LDWP,2018,1,12112,1626462
BPAT,LDWP,2018,2,9600,1383336
BPAT,LDWP,2018,3,11754,1453958
BPAT,LDWP,2018,4,11160,1382224
BPAT,LDWP,2018,5,11904,1735074
BPAT,LDWP,2018,6,10712,1632596
BPAT,LDWP,2018,7,11820,1524409
BPAT,LDWP,2018,8,11954,1484529
BPAT,LDWP,2018,9,11160,1118021
BPAT,LDWP,2018,10,1813,360121
BPAT,LDWP,2018,11,6255,163957
BPAT,LDWP,2018,12,10722,450985
BPAT,NEVP,2018,1,11904,78553
BPAT,NEVP,2018,2,9744,71094
BPAT,NEVP,2018,3,11829,85330
BPAT,NEVP,2018,4,10920,95024
BPAT,NEVP,2018,5,11895,84154
BPAT,NEVP,2018,6,11087,61576
BPAT,NEVP,2018,7,10040,57396
BPAT,NEVP,2018,8,7995,25658
BPAT,NEVP,2018,9,8435,19703
BPAT,NEVP,2018,10,8890,22204
BPAT,NEVP,2018,11,6430,28166
BPAT,NEVP,2018,12,8558,28041
BPAT,NWMT,2018,2,434,21068
BPAT,NWMT,2018,3,61,103
BPAT,NWMT,2018,4,3066,30619
BPAT,NWMT,2018,5,7862,111277
BPAT,NWMT,2018,6,3248,72009
BPAT,NWMT,2018,7,4306,72524
BPAT,NWMT,2018,8,593,12300
BPAT,NWMT,2018,12,95,562
BPAT,PACW,2018,1,23752,1579207
BPAT,PACW,2018,2,19488,1824055
BPAT,PACW,2018,3,23808,1974419
BPAT,PACW,2018,4,19562,1301440
BPAT,PACW,2018,5,23768,2004945
BPAT,PACW,2018,6,21136,2050625
BPAT,PACW,2018,7,23502,2495345
BPAT,PACW,2018,8,18976,2074868
BPAT,PACW,2018,9,18187,1579850
BPAT,PACW,2018,10,22151,1560455
BPAT,PACW,2018,11,20193,1673470
BPAT,PACW,2018,12,20385,1600454
